                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.97313,                0.67823,                 1.0755,                0.95392,                0.89561,                0.93362,                0.74237,                0.77411,                0.42566,                0.92085,               0.002179,               0.002179,               0.002179
                     81,                0.94767,                 0.6443,                 1.0688,                0.95391,                0.89641,                0.93723,                 0.7517,                0.76108,                0.41849,                0.91253,                0.00208,                0.00208,                0.00208
                     82,                0.96303,                0.64636,                 1.0626,                0.95562,                  0.899,                0.93861,                0.75792,                  0.747,                0.41321,                0.90636,               0.001981,               0.001981,               0.001981
                     83,                0.94338,                0.64463,                 1.0597,                0.95458,                0.89933,                 0.9383,                0.75836,                0.73764,                0.40718,                 0.8999,               0.001882,               0.001882,               0.001882
                     84,                0.93329,                0.62919,                  1.052,                0.95554,                0.90277,                0.93935,                0.75976,                0.73388,                0.40888,                0.89842,               0.001783,               0.001783,               0.001783
                     85,                0.93421,                0.63117,                 1.0548,                0.96371,                0.89958,                 0.9395,                0.76313,                0.72577,                0.40215,                0.89883,               0.001684,               0.001684,               0.001684
                     86,                0.91989,                0.61904,                 1.0471,                0.96221,                0.90234,                0.94079,                 0.7661,                0.71969,                0.39794,                0.89473,               0.001585,               0.001585,               0.001585
                     87,                0.92616,                 0.6177,                 1.0532,                0.96134,                0.90303,                0.94145,                0.77072,                0.71523,                0.39511,                0.89114,               0.001486,               0.001486,               0.001486
                     88,                0.89802,                 0.6091,                 1.0407,                0.96241,                0.90453,                0.94305,                0.77525,                0.70508,                0.38845,                0.88653,               0.001387,               0.001387,               0.001387
                     89,                0.89828,                 0.5964,                 1.0323,                0.96069,                 0.9047,                0.94515,                0.77721,                0.69398,                0.38365,                0.88105,               0.001288,               0.001288,               0.001288
                     90,                0.88013,                0.59746,                 1.0289,                0.95768,                0.91208,                0.94715,                 0.7789,                0.68936,                0.38202,                0.87939,               0.001189,               0.001189,               0.001189
                     91,                0.88168,                0.59134,                 1.0343,                0.96534,                0.90578,                0.94598,                0.78031,                 0.6812,                0.37853,                0.87714,                0.00109,                0.00109,                0.00109
                     92,                0.88348,                0.58778,                 1.0339,                0.95989,                0.91131,                0.94667,                0.78245,                0.67468,                 0.3751,                0.87726,               0.000991,               0.000991,               0.000991
                     93,                0.87716,                0.60115,                 1.0277,                0.96463,                0.91083,                0.94726,                0.78588,                0.66607,                0.37014,                0.87294,               0.000892,               0.000892,               0.000892
                     94,                0.86333,                0.57501,                 1.0252,                0.96994,                0.91231,                0.94832,                0.78865,                0.65853,                0.36452,                0.87021,               0.000793,               0.000793,               0.000793
                     95,                0.85932,                0.57905,                 1.0221,                0.97141,                0.90973,                0.94841,                0.78987,                  0.655,                0.36295,                0.86787,               0.000694,               0.000694,               0.000694
                     96,                 0.8606,                0.57512,                 1.0273,                 0.9653,                0.91357,                0.94824,                0.79063,                0.65096,                0.35992,                0.86771,               0.000595,               0.000595,               0.000595
                     97,                0.84444,                0.56101,                 1.0174,                0.96762,                0.91337,                0.94937,                0.79354,                0.64483,                0.35648,                0.86538,               0.000496,               0.000496,               0.000496
                     98,                0.84452,                0.56093,                 1.0161,                0.96756,                0.91631,                0.95041,                0.79668,                 0.6411,                0.35449,                0.86354,               0.000397,               0.000397,               0.000397
                     99,                0.84008,                0.56024,                  1.017,                0.96977,                0.91651,                0.95098,                0.79632,                0.63724,                0.35296,                0.86175,               0.000298,               0.000298,               0.000298
